#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
185.0,2045,1663.579585
355.0,4077,1671.634052
290.0,2603,1676.55804
120.0,1923,1680.284262
265.0,2591,1686.185745
295.0,2455,1691.819431
245.0,2357,1697.342688
120.0,1587,1701.490189
555.0,4483,1712.42225
395.0,2319,1717.310666
75.0,2101,1721.411136
180.0,1973,1725.220001
175.0,1939,1729.010877
685.0,4531,1737.733487
380.0,3453,1744.720526
120.0,1877,1749.468002
140.0,1931,1754.308607
180.0,1877,1770.644191
440.0,3798,1779.615907
340.0,3019,1785.447744
215.0,2107,1789.478729
390.0,3149,1795.509468
145.0,1827,1800.108072
405.0,3187,1809.928065
690.0,3575,1822.672953
160.0,1917,1829.426118
155.0,2205,1835.567585
165.0,1979,1841.483465
280.0,2547,1848.441689
155.0,2027,1854.734902
365.0,3331,1864.628844
120.0,1515,1868.996698
145.0,1969,1875.73798
205.0,1997,1883.071147
275.0,1923,1888.938878
315.0,3239,1895.942905
275.0,2093,1900.479518
115.0,1497,1903.95134
300.0,3215,1911.302631
130.0,2107,1916.097468
260.0,2501,1923.093565
605.0,3745,1934.531111
395.0,3849,1947.87097
490.0,2533,1957.114941
50.0,1387,1962.108063
345.0,3599,1971.229149
105.0,1573,1974.303117
275.0,2255,1978.626144
700.0,4019,1987.736844
295.0,3132,1995.226231
380.0,3347,2003.596364
295.0,2767,2009.37691
195.0,2989,2017.969385
95.0,2017,2023.03244
155.0,1965,2028.111162
350.0,3605,2037.244498
210.0,2889,2058.447884
250.0,2369,2064.691186
575.0,4781,2078.82123
245.0,2047,2085.620201
250.0,3083,2095.500044
440.0,3627,2109.147975
260.0,2397,2117.567303
200.0,2051,2123.076773
390.0,2885,2129.896442
605.0,4021,2139.540813
75.0,1001,2141.993815
305.0,2823,2150.140606
215.0,1979,2155.142883
325.0,2577,2162.228667
225.0,1761,2167.975191
145.0,2197,2175.634333
150.0,1841,2182.132167
250.0,2799,2191.799634
245.0,2029,2197.753092
150.0,2087,2203.055667
165.0,2005,2207.329018
190.0,1951,2211.692333
260.0,2301,2217.701343
240.0,2729,2224.956737
305.0,2874,2231.842753
115.0,1541,2236.633856
555.0,4305,2249.188339
425.0,2851,2256.538432
200.0,1985,2261.738905
195.0,2063,2267.422551
290.0,2699,2274.125545
245.0,3365,2280.983184
235.0,2299,2285.595699
225.0,2007,2289.498616
210.0,2521,2294.468793
210.0,2151,2299.272513
110.0,1623,2303.198403
110.0,1907,2307.884711
220.0,3061,2314.115099
110.0,1813,2317.647227
190.0,3163,2323.757108
205.0,1639,2340.624248
55.0,1553,2343.689988
115.0,2335,2348.897938
180.0,2045,2353.719997
155.0,2117,2358.547389
275.0,1767,2361.952116
270.0,2211,2366.231369
135.0,1539,2369.174148
325.0,2437,2374.469582
270.0,2153,2379.149666
185.0,2003,2383.990319
590.0,3991,2393.465643
265.0,3277,2400.435085
180.0,2087,2405.369542
85.0,1579,2408.512576
175.0,1999,2412.424483
185.0,1981,2416.328465
100.0,1901,2419.97417
320.0,2529,2426.057249
220.0,1889,2430.567701
350.0,2749,2438.846366
150.0,1581,2444.994959
295.0,2581,2454.026401
420.0,3571,2464.619155
105.0,1517,2468.658419
65.0,1601,2472.700999
105.0,1881,2478.446151
325.0,3151,2488.129148
285.0,2451,2496.512167
140.0,1985,2503.756761
255.0,2943,2513.965728
95.0,1827,2517.672342
160.0,1785,2521.881987
800.0,4119,2530.616847
25.0,1339,2533.687147
285.0,3007,2541.175833
355.0,3831,2550.947977
270.0,2479,2556.977596
185.0,2147,2562.40045
255.0,2848,2568.535478
355.0,3919,2576.939745
170.0,1961,2580.861397
215.0,2081,2584.824319
175.0,2031,2589.234982
190.0,2469,2605.984183
40.0,1561,2609.516864
100.0,1487,2612.720814
215.0,2219,2617.807916
400.0,2877,2624.783721
185.0,2141,2629.355642
